OBJECTID;ARRDT;BOIS;TYPE_VOIE;NOM_VOIE;STATUT;TYPOLOGIE;SENS_VELO;TYPOLOGIE_SIMPLE;SHAPE.LEN;geo_shape;geo_point_2d
1729;16;NON;RUE;GREUZE;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.285239899210813, 48.863361280582126], [2.28524016276849, 48.863367771273275], [2.285239415333696, 48.86337422416995], [2.2852376750356163, 48.86338048275581], [2.285234984085542, 48.863386395227536], [2.285231407753025, 48.86339181817692], [2.285216563748492, 48.86340818371162], [2.285147806595362, 48.863467915937434], [2.2851125273770743, 48.86346940736204], [2.2850324433856, 48.863539852189696], [2.284701621531446, 48.86364567867735], [2.283930956201184, 48.8638928758571], [2.283103790146453, 48.864158283139545], [2.282438761675441, 48.86437092551182]]}";48.8639078501, 2.28387021618
1731;16;NON;RUE;GREUZE;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.282251495987381, 48.864418030355765], [2.281436035323318, 48.86468151043711]]}";48.8645497704, 2.28184376566
1732;16;NON;AVENUE;GEORGES MANDEL;VOIE 50;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.285199814438242, 48.863120849821144], [2.28522450063818, 48.863219464577625], [2.285232819796553, 48.86329608150627]]}";48.8632079377, 2.28521927359
1733;16;NON;RUE DU;PASTEUR MARC BOEGNER;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.281526467860421, 48.863406002694845], [2.281055738567442, 48.8628688113737]]}";48.863137407, 2.28129110321
1736;16;NON;RUE;CORTAMBERT;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.280931714785855, 48.86273577540987], [2.280893747431695, 48.8627192005509], [2.280582028888063, 48.86241695592099], [2.280074229802114, 48.861923908793116], [2.279766823143003, 48.86162407160535], [2.279385857838307, 48.86125411258178]]}";48.8620011673, 2.28015454907
1740;16;NON;RUE;FAUSTIN HELIE;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.276825385304509, 48.85931309244787], [2.2765379422389103, 48.85935069401648], [2.275824875085644, 48.859445548486555], [2.275308721567922, 48.85951356575661]]}";48.8594132847, 2.27606704767
1742;16;NON;PLACE;POSSOZ;ZONE 30;CONTINUITE VELO;CONTRESENS;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.27730515904933, 48.859415767473116], [2.277211186056789, 48.85935925293148]]}";48.8593875102, 2.27725817255
1743;16;NON;RUE;DESBORDES VALMORE;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.276212149918401, 48.85949795428408], [2.276346121551856, 48.85967985295378], [2.276550623613543, 48.85995899785358], [2.276778706398904, 48.86027086156809], [2.2769612801963612, 48.86051902098847]]}";48.860008468, 2.27658674182
1744;16;NON;RUE;FAUSTIN HELIE;ZONE 30;CONTINUITE VELO;CONTRESENS;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.276212149918401, 48.85949795428408], [2.276194557960533, 48.85947336740376], [2.2761820135832, 48.85946224784464], [2.276167975751596, 48.85945308567888], [2.276175059574894, 48.85939896640258]]}";48.8594516615, 2.27618251868
1747;16;NON;RUE;NICOLO;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.2771403693331242, 48.86055794938559], [2.277506178542881, 48.86041020970661], [2.277773463847737, 48.86029876269413], [2.278027474351653, 48.860191594526974]]}";48.8603763569, 2.27758457574
1755;16;NON;RUE;PETRARQUE;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.282596783415001, 48.861731985896995], [2.282770720503213, 48.86184208081411], [2.282806702397343, 48.86187585102197], [2.283049591661592, 48.862026064947244]]}";48.8618801651, 2.28282239351
1764;16;NON;PORTE;MAILLOT;AIRE PIETONNE;PISTE CYCLABLE SUR TERRE-PLEIN;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.281264771605909, 48.87701686831453], [2.281143027392492, 48.877005959375545], [2.280849665091885, 48.87698734360729], [2.28055602451385, 48.87697380857212], [2.280438399715452, 48.876978832082095], [2.280320668578963, 48.87697928853744], [2.280203008364049, 48.876975177250905], [2.28011674124125, 48.87696714565178], [2.280030734572606, 48.8769566873532], [2.279924080078335, 48.87693859193525], [2.279898572918813, 48.87693332604346], [2.279872565475216, 48.876931926872], [2.279846640578312, 48.876934425776504], [2.279821379208984, 48.87694076675616], [2.279783075023679, 48.87695519760551]]}";48.8769774398, 2.28052158734
1766;16;NON;AVENUE DE;NEW YORK;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.300866653039696, 48.86431808004047], [2.300198230572266, 48.86421847145837]]}";48.8642682757, 2.30053244181
1770;16;NON;AVENUE DE;NEW YORK;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.299360254463571, 48.864076513895924], [2.298942529112456, 48.86397836564259]]}";48.8640274398, 2.29915139179
1774;16;NON;AVENUE DE;NEW YORK;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.296234855927268, 48.8633814677595], [2.295937018216701, 48.86329110287492], [2.295360994782407, 48.863114031075504], [2.295286279411616, 48.86309055173329], [2.295255255211153, 48.86306732963729]]}";48.8632306723, 2.29574198207
1786;6;NON;QUAI;MALAQUAIS;VOIE 50;CONTINUITE MIXTE;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.335276964999968, 48.857947873783246], [2.335323786639181, 48.857932445453955], [2.335371959352412, 48.85792197220501], [2.335420960277902, 48.85791656771202]]}";48.8579288795, 2.33534823621
1801;15;NON;BOULEVARD DE;VAUGIRARD;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.315788269351509, 48.840872154593136], [2.315177001034665, 48.840696296687106], [2.315162758366456, 48.84069331850414], [2.315148250775298, 48.84069219914259], [2.315133719827001, 48.840692957240925], [2.315096211676153, 48.84069583415446], [2.314964740115686, 48.840720587542464], [2.314944683107126, 48.84073206640997]]}";48.8407626612, 2.31536732858
1804;14;NON;RUE DU;COMMANDANT RENE MOUCHOTTE;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.321065596572663, 48.839661160837494], [2.321031666562381, 48.839641355339566], [2.320998976626993, 48.83961956379372], [2.320222171405661, 48.838962473320144], [2.31944517075779, 48.83829910420009], [2.318796927291669, 48.83774749679293]]}";48.8387096199, 2.31992732696
1818;15;NON;RUE DU;COTENTIN;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.316089382722053, 48.838775365631854], [2.316077387668732, 48.83876931843555], [2.316064717598683, 48.83876485534109], [2.315982218904879, 48.83875128559351], [2.315499212543326, 48.83870158804936], [2.315246570707584, 48.83867503752759], [2.314988900580587, 48.83864736617295], [2.314988081049031, 48.83864681572875]]}";48.8387058448, 2.31553989849
1820;15;NON;RUE;ANDRE GIDE;VOIE 30;BANDE CYCLABLE DECALEE;CONTRESENS;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.314500704904234, 48.83855233752283], [2.314500229878232, 48.83852559299598], [2.314482981337755, 48.8383912393634], [2.314480052111285, 48.838372381222854], [2.31447432092568, 48.838354177834596], [2.314465918069455, 48.838337043020914], [2.314455034566895, 48.83832136631193], [2.314441917835455, 48.83830750409029], [2.314372380671925, 48.83825143890762], [2.313961566652487, 48.837918303576984], [2.313153964806232, 48.837255383346964], [2.312809791584224, 48.8369794391013], [2.312741063037606, 48.836925014785066], [2.312741070232859, 48.8369244690744]]}";48.8377004133, 2.31368573682
1822;15;NON;PLACE;MADELEINE RENAUD ET JEAN LOUIS BARRAULT;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;CONTRESENS;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.314503256286546, 48.83859093674683], [2.314533377804609, 48.83862658318077], [2.314546979637421, 48.838661043441604]]}";48.8386242724, 2.31452799164
615;8;NON;BOULEVARD;MALESHERBES;VOIE 50;BANDE CYCLABLE DECALEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.320887857675372, 48.87319898439693], [2.320735710800436, 48.87341418063171]]}";48.8733065825, 2.32081178424
622;8;NON;BOULEVARD;MALESHERBES;VOIE 50;BANDE CYCLABLE DECALEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.322123593906685, 48.8718578892184], [2.321935775007292, 48.87212581137305]]}";48.8719918503, 2.32202968446
624;8;NON;BOULEVARD;MALESHERBES;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.320938843123951, 48.87354358338533], [2.32106183363093, 48.87337890511277]]}";48.8734612442, 2.32100033838
627;8;NON;BOULEVARD;MALESHERBES;VOIE 50;BANDE CYCLABLE DECALEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.320160069504835, 48.87425920235447], [2.32041537832935, 48.87390670017478]]}";48.8740829513, 2.32028772392
634;8;NON;PLACE;SAINT AUGUSTIN;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.319535806022886, 48.8752626390146], [2.320138981007775, 48.87476936800327], [2.320326822634276, 48.87447311524664]]}";48.8748934551, 2.31996017363
636;8;NON;RUE LA;BOETIE;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.319180138304619, 48.87452135144654], [2.318727680529726, 48.874445964290985]]}";48.8744836579, 2.31895390942
640;8;NON;RUE LA;BOETIE;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.314302408555858, 48.873684000642314], [2.313624341376771, 48.87356661183132], [2.312487166486155, 48.8733709146448], [2.312251998843477, 48.873330658692744], [2.3115803325339668, 48.8731390541903]]}";48.8734386106, 2.31293517941
643;8;NON;AVENUE;FRANKLIN DELANO ROOSEVELT;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.31000243601557, 48.871266380271365], [2.310007334815205, 48.87065149347442]]}";48.8709589369, 2.31000488542
645;8;NON;ROND POINT DES;CHAMPS ELYSEES MARCEL DASSAULT;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.310040025412214, 48.869572331738794], [2.310053734510663, 48.86927259108255]]}";48.8694224614, 2.31004687996
647;14;NON;RUE DE LA;SANTE;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.341247986769497, 48.8302105188477], [2.341277634677303, 48.82986088132225], [2.34132124672253, 48.82940441712113], [2.341415089884641, 48.829037226370545], [2.341530673076144, 48.828589486680315], [2.341545861089169, 48.828528414569234], [2.341574454238674, 48.82826205669731], [2.341614191478168, 48.827916327615036], [2.341608816455572, 48.827787142219336], [2.341603770792792, 48.827501752517676]]}";48.8288574475, 2.34144840748
654;13;NON;RUE DE L;AMIRAL MOUCHEZ;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.341624833029834, 48.82513471680294], [2.341579421811317, 48.8246725073421]]}";48.8249036121, 2.34160212742
655;13;NON;RUE DE L;AMIRAL MOUCHEZ;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.341579421811317, 48.8246725073421], [2.341560182148872, 48.82447913194172]]}";48.8245758196, 2.34156980198
656;13;NON;RUE DE L;AMIRAL MOUCHEZ;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.341560182148872, 48.82447913194172], [2.341535498970801, 48.824170545701264]]}";48.8243248388, 2.34154784056
657;13;NON;RUE DE L;AMIRAL MOUCHEZ;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.341535498970801, 48.824170545701264], [2.341508191104122, 48.82399176741178], [2.341485807338334, 48.82373525284242], [2.341485513059396, 48.82368052403373], [2.341498923839687, 48.82363309390077]]}";48.8239015963, 2.34150370544
659;13;NON;RUE DE L;AMIRAL MOUCHEZ;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.341612967612667, 48.8232647524958], [2.341701297653683, 48.822981516242734], [2.34170096169263, 48.82285201715331], [2.341731641988511, 48.82276368541181], [2.341762460189337, 48.82266442198254], [2.341880638453231, 48.82243666266987], [2.342004920374578, 48.82220932723024]]}";48.8227255667, 2.34177718045
666;14;NON;BOULEVARD;JOURDAN;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.341550372606005, 48.81990597393722], [2.341543212568642, 48.81989578798401], [2.341534466400715, 48.81988692658883], [2.341524375029207, 48.81987963385279], [2.341513216436854, 48.81987411066579], [2.341501298004674, 48.819870509172745], [2.341488948044669, 48.81986892858243], [2.341476506755956, 48.81986941243471], [2.341464316853447, 48.81987194740112], [2.341321373311974, 48.81989114887169], [2.341082067883094, 48.81992195525883], [2.34085136500728, 48.819956378017764], [2.340696412725984, 48.819984793057515], [2.340630685523734, 48.82001883992289], [2.339802463896178, 48.820199166354506], [2.339337160347914, 48.82030225146845], [2.339325305511211, 48.82029933042629]]}";48.8200635101, 2.34044099676
669;14;NON;BOULEVARD;JOURDAN;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.337500645528121, 48.82070914236663], [2.336334117410565, 48.82096681123023], [2.335348850287156, 48.82118421380105], [2.334832147577004, 48.8212980609081], [2.334819566908096, 48.82126729385781]]}";48.8210070898, 2.33615031628
671;13;NON;AVENUE DE;FRANCE;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3767074899962513, 48.8303433818615], [2.377820694885687, 48.82917249516248]]}";48.8297579385, 2.37726409244
681;13;NON;AVENUE DE;FRANCE;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.378644898602299, 48.82847718038906], [2.378706210062842, 48.828413249942706]]}";48.8284452152, 2.37867555433
682;13;NON;AVENUE DE;FRANCE;VOIE 30;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.378019576892191, 48.82896079425598], [2.378466342969373, 48.82848981623921]]}";48.8287253052, 2.37824295993
689;14;NON;BOULEVARD;JOURDAN;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.326585675207817, 48.823099767576345], [2.326563698258298, 48.82309035178158], [2.326540573298558, 48.82308427891256], [2.326516805716957, 48.823081681689814], [2.326492914946141, 48.8230826168748], [2.325744961533075, 48.823249801211546], [2.325737685971567, 48.82325262331916], [2.325730940594283, 48.82325654734413], [2.325724891030046, 48.82326147693429], [2.325719685822393, 48.82326729104643], [2.325715452782177, 48.82327384691839], [2.325712295849241, 48.82328098357454], [2.325710292540242, 48.823288525778445], [2.325709492045271, 48.823296288335655]]}";48.8231649633, 2.32613572201
691;14;NON;BOULEVARD;BRUNE;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.325427784957304, 48.82335993358878], [2.3254159908186383, 48.823351321389296], [2.325403025978416, 48.823344599439814], [2.325389190958564, 48.823339923553526], [2.325374806451567, 48.82333740211637], [2.32536020588689, 48.82333709357468], [2.325345727702166, 48.823339005080356], [2.324837689705832, 48.823453175339004], [2.324543554939012, 48.82351898676706], [2.324015720578517, 48.823665658740374], [2.323910963808747, 48.82369224737245], [2.323350478982269, 48.82381698712358], [2.323340689482707, 48.82382013669857], [2.323331525132758, 48.823824802404765], [2.323323218993844, 48.823830865587155], [2.323315982301955, 48.82383817205106], [2.323309999095643, 48.82384653598354], [2.323305421535683, 48.82385574467884]]}";48.8235747755, 2.32436056803
693;14;NON;BOULEVARD;BRUNE;VOIE 30;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.32320344639621, 48.82387691226108], [2.323194514009626, 48.823871734481564], [2.323184856888791, 48.82386808250293], [2.323174733528394, 48.82386605407865], [2.323164414903086, 48.82386570350409], [2.323154177214223, 48.82386704016317], [2.3230832356439253, 48.823885185543546], [2.322284756090597, 48.82406293456536], [2.321375532080711, 48.824265312047686]]}";48.8240617857, 2.32229029526
700;14;NON;BOULEVARD;BRUNE;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.305708991661265, 48.827719635353404], [2.305469989869361, 48.827773248761396], [2.305405157698412, 48.827789676834385], [2.305342355781827, 48.827812677078846], [2.30528224842429, 48.82784200620331], [2.305225471428042, 48.82787735397084]]}";48.8277834925, 2.30546153102
702;15;NON;BOULEVARD;LEFEBVRE;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.304676534751679, 48.82799392392894], [2.304494060196276, 48.82802851285894], [2.30437848354556, 48.82805150394418], [2.303917993545793, 48.82815243142086], [2.303865724301061, 48.82814956898709], [2.303726790107713, 48.82818073760896], [2.303133383410576, 48.82831171438175]]}";48.8281495597, 2.30390427071
1826;14;NON;RUE;PERNETY;ZONE 30;BANDE CYCLABLE DECALEE;CONTRESENS;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.317961959665452, 48.834056858817014], [2.317602893198432, 48.83428064506586], [2.317347140210635, 48.834441072181086], [2.317159469486017, 48.83455732343168], [2.317138031505538, 48.834570717314364]]}";48.8343138943, 2.31755006129
709;15;NON;BOULEVARD;LEFEBVRE;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.295791976616632, 48.82994661558455], [2.295582580837329, 48.83001377622593]]}";48.8299801959, 2.29568727873
711;15;NON;BOULEVARD;LEFEBVRE;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.29243014293898, 48.83102168488207], [2.292305960915684, 48.83107568112411]]}";48.831048683, 2.29236805193
716;15;NON;BOULEVARD;VICTOR;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.286515298726322, 48.83357056079357], [2.2862307372828212, 48.833687843173024], [2.286066757278522, 48.83375170869446], [2.2855605282603593, 48.833933700137074], [2.285432108999132, 48.83398022761399]]}";48.8337807699, 2.2859757725
719;15;NON;BOULEVARD;VICTOR;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.284142923287836, 48.83446694080322], [2.284040570868955, 48.83450499672639]]}";48.8344859688, 2.28409174708
